Time,PRN,Lat,Lon,Stec,Time_seconds,Gradient (mm/km)
5.275,1.0,18.555,71.472,92.23,18990.0,-15.760639208681544
5.283333,1.0,18.506,71.498,92.11,19019.9988,-19.674569578915424
5.291667,1.0,18.456,71.524,92.0,19050.001200000002,-17.744430495530686
5.3,1.0,18.407,71.549,91.86,19080.0,-23.12804623181837
5.308333,1.0,18.358,71.574,91.76,19109.9988,-16.519140381996454
5.316667,1.0,18.31,71.599,91.72,19140.0012,-6.718141106907586
5.325,1.0,18.263,71.623,91.61,19170.0,-18.939227679259655
5.333333,1.0,18.216,71.647,91.44,19199.998799999998,-29.268207107668154
5.341667,1.0,18.169,71.67,91.36,19230.0012,-13.880873896589552
5.35,1.0,18.122,71.693,91.26,19260.0,-17.350262054832225
5.358333,1.0,18.077,71.716,91.16,19289.9988,-17.975852143298493
5.366667,1.0,18.031,71.739,91.11,19320.0012,-8.828440884514325
5.375,1.0,17.986,71.761,91.09,19350.0,-3.6243969175709245
5.383333,1.0,17.941,71.782,91.08,19379.9988,-1.8266021031467545
5.391667,1.0,17.897,71.804,91.08,19410.0012,0.0
5.4,1.0,17.853,71.825,91.09,19440.0,1.8609279167881607
5.408333,1.0,17.81,71.846,91.13,19469.9988,7.586026117044711
5.416667,1.0,17.767,71.866,91.15,19500.001200000002,3.82459249536197
5.425,1.0,17.724,71.886,91.17,19530.0,3.824441650435211
5.433333,1.0,17.681,71.906,91.27,19559.9988,19.121455702479885
5.441667,1.0,17.639,71.926,91.38,19590.0012,21.44889200904744
5.45,1.0,17.598,71.945,91.49,19620.0,22.07118188746077
5.458333,1.0,17.557,71.964,91.6,19649.998799999998,22.07036402367886
5.466667,1.0,17.516,71.982,91.69,19680.0012,18.20999277794166
5.475,1.0,17.475,72.001,91.71,19710.0,4.012497009137222
5.483333,1.0,17.435,72.019,91.76,19739.9988,10.329939927604022
5.491667,1.0,17.395,72.037,91.88,19770.0012,24.79100987498829
5.5,1.0,17.355,72.054,91.97,19800.0,18.751004559708925
5.508333,1.0,17.316,72.071,92.02,19829.9988,10.64500949243312
5.516667,1.0,17.277,72.088,92.06,19860.0012,8.515740829630749
5.525,1.0,17.238,72.105,92.13,19890.0,14.902080578614747
5.533333,1.0,17.2,72.121,92.11,19919.9988,-4.391421728482773
5.541667,1.0,17.162,72.138,92.13,19950.001200000002,4.352398773067361
5.55,1.0,17.124,72.154,92.17,19980.0,8.782341783500932
5.558333,1.0,17.087,72.169,92.2,20009.9988,6.799237374142451
5.566667,1.0,17.05,72.185,92.16,20040.0012,-8.984949921555797
5.575,1.0,17.013,72.2,92.18,20070.0,4.532590200571297
5.583333,1.0,16.976,72.215,92.18,20099.998799999998,0.0
5.591667,1.0,16.94,72.23,92.23,20130.0012,11.603004828786624
5.6,1.0,16.904,72.244,92.3,20160.0,16.389246055289387
5.608333,1.0,16.868,72.258,92.33,20189.9988,7.023799492469547
5.616667,1.0,16.833,72.272,92.35,20220.0012,4.7993169099183675
5.625,1.0,16.797,72.286,92.27,20250.0,-18.72927666304479
5.633333,1.0,16.762,72.3,92.29,20279.9988,4.799087108166972
5.641667,1.0,16.728,72.313,92.31,20310.0012,4.9676203814906845
5.65,1.0,16.693,72.326,92.3,20340.0,-2.420868188676011
5.658333,1.0,16.659,72.339,92.37,20369.9988,17.38592803908601
5.666667,1.0,16.625,72.352,92.43,20400.001200000002,14.901910980370618
5.675,1.0,16.591,72.364,92.54,20430.0,27.561953420885374
5.683333,1.0,16.557,72.376,92.62,20459.9988,20.04469318995022
5.691667,1.0,16.524,72.389,92.77,20490.0012,38.2422375814024
5.7,1.0,16.491,72.4,92.86,20520.0,23.36281275522618
5.708333,1.0,16.458,72.412,92.93,20549.998799999998,18.01277829353832
5.716667,1.0,16.426,72.424,93.07,20580.0012,37.02346737556232
5.725,1.0,16.393,72.435,93.15,20610.0,20.76597175754883
5.733333,1.0,16.361,72.446,93.17,20639.9988,5.337947447354359
5.741667,1.0,16.329,72.457,93.23,20670.0012,16.01358472598688
5.75,1.0,16.297,72.468,93.24,20700.0,2.6688879283840636
5.758333,1.0,16.266,72.478,93.29,20729.9988,13.856130871319637
5.766667,1.0,16.234,72.489,93.28,20760.0012,-2.6688037735993677
5.775,1.0,16.203,72.499,93.31,20790.0,8.313445341757243
5.783333,1.0,16.172,72.509,93.33,20819.9988,5.54222060311889
5.791667,1.0,16.141,72.519,93.33,20850.001200000002,0.0
5.8,1.0,16.111,72.528,93.35,20880.0,5.7610033693758735
5.808333,1.0,16.08,72.538,93.34,20909.9988,-2.7709974873698373
5.816667,1.0,16.05,72.547,93.37,20940.0012,8.64130141530265
5.825,1.0,16.02,72.556,93.35,20970.0,-5.760801015430842
5.833333,1.0,15.99,72.565,93.41,20999.998799999998,17.282203602502314
5.841667,1.0,15.96,72.574,93.47,21030.0012,17.282004499436102
5.85,1.0,15.931,72.583,93.51,21060.0,11.886503960537398
5.858333,1.0,15.901,72.591,93.59,21089.9988,23.230220923874686
5.866667,1.0,15.872,72.6,93.63,21120.0012,11.886218499898526
5.875,1.0,15.843,72.608,93.66,21150.0,8.992109344453606
5.883333,1.0,15.814,72.616,93.69,21179.9988,8.992024366009257
5.891667,1.0,15.785,72.624,93.71,21210.0012,5.9946263529099655
5.9,1.0,15.757,72.632,93.69,21240.0,-6.193856312269838
5.908333,1.0,15.728,72.639,93.64,21269.9988,-15.103300544429008
5.916667,1.0,15.7,72.647,93.68,21300.001200000002,12.387468387159315
5.925,1.0,15.672,72.654,93.67,21330.0,-3.1226854472358263
5.933333,1.0,15.644,72.661,93.68,21359.9988,3.1226619995033467
5.941667,1.0,15.616,72.668,93.72,21390.0012,12.490554359739336
5.95,1.0,15.588,72.675,93.72,21420.0,0.0
5.958333,1.0,15.561,72.682,93.74,21449.998799999998,6.46313704312366
5.966667,1.0,15.533,72.689,93.78,21480.0012,12.490277686925966
5.975,1.0,15.506,72.695,93.89,21510.0,35.826947248757506
5.983333,1.0,15.479,72.701,93.88,21539.9988,-3.2569765353984828
5.991667,1.0,15.451,72.708,93.89,21570.0012,3.1225014168772094
6.0,1.0,15.425,72.714,93.88,21600.0,-3.3764041482849603
6.008333,1.0,15.398,72.72,93.9,21629.9988,6.513841411877492
6.016667,1.0,15.371,72.726,93.9,21660.0012,0.0
6.025,1.0,15.344,72.731,93.85,21690.0,-16.394755679808004
6.033333,1.0,15.318,72.737,93.86,21719.9988,3.3763223088266834
6.041667,1.0,15.292,72.742,93.84,21750.001200000002,-6.80183746878882
6.05,1.0,15.265,72.748,93.8,21780.0,-13.027318456796461
6.058333,1.0,15.239,72.753,93.81,21809.9988,3.4008901441471604
6.066667,1.0,15.213,72.758,93.83,21840.0012,6.801752303536724
6.075,1.0,15.187,72.763,93.79,21870.0,-13.60344872459419
6.083333,1.0,15.162,72.768,93.81,21899.998799999998,7.064173398727357
6.091667,1.0,15.136,72.773,93.86,21930.0012,17.004174202369065
6.1,1.0,15.11,72.777,93.91,21960.0,17.10700526596903
6.108333,1.0,15.085,72.782,93.99,21989.9988,28.256324494085394
6.116667,1.0,15.059,72.786,94.05,22020.0012,20.528299907966407
6.125,1.0,15.034,72.791,94.08,22050.0,10.596030363324518
6.133333,1.0,15.009,72.795,94.08,22079.9988,0.0
6.141667,1.0,14.984,72.799,94.14,22110.0012,21.330473025155868
6.15,1.0,14.959,72.803,94.07,22140.0,-24.885484056255837
6.158333,1.0,14.934,72.807,94.08,22169.9988,3.5550594790038614
6.166667,1.0,14.909,72.811,94.1,22200.001200000002,7.1100996437233475
6.175,1.0,14.884,72.814,94.09,22230.0,-3.5733389155461874
6.183333,1.0,14.859,72.818,94.1,22259.9988,3.555030551855925
6.191667,1.0,14.835,72.821,94.11,22290.0012,3.7201165950277355
6.2,1.0,14.81,72.825,94.16,22320.0,17.775058622894036
6.208333,1.0,14.786,72.828,94.14,22349.998799999998,-7.44020895582563
6.216667,1.0,14.761,72.831,94.17,22380.0012,10.719935816169956
6.225,1.0,14.737,72.834,94.14,22410.0,-11.160277192063745
6.233333,1.0,14.713,72.837,94.15,22439.9988,3.720086493693123
6.241667,1.0,14.689,72.84,94.13,22470.0012,-7.440161197624446
6.25,1.0,14.665,72.843,94.12,22500.0,-3.7200747127104257
6.258333,1.0,14.641,72.846,94.12,22529.9988,0.0
6.266667,1.0,14.617,72.848,94.13,22560.0012,3.735051338331972
6.275,1.0,14.593,72.851,94.09,22590.0,-14.880228428700592
6.283333,1.0,14.569,72.853,94.08,22619.9988,-3.7350460704331523
6.291667,1.0,14.545,72.855,94.04,22650.001200000002,-14.94017376963611
6.3,1.0,14.522,72.858,94.04,22680.0,0.0
6.308333,1.0,14.498,72.86,94.02,22709.9988,-7.470076614659475
6.316667,1.0,14.474,72.862,94.03,22740.0012,3.7350356910161175
6.325,1.0,14.451,72.864,93.97,22770.0,-23.377837840063705
6.333333,1.0,14.427,72.866,93.97,22799.998799999998,0.0
6.341667,1.0,14.404,72.868,93.95,22830.0012,-7.792601023919299
6.35,1.0,14.381,72.869,93.91,22860.0,-15.626524558195582
6.358333,1.0,14.357,72.871,93.83,22889.9988,-29.880183945958084
6.366667,1.0,14.334,72.873,93.85,22920.0012,7.792583827103636
6.375,1.0,14.311,72.874,93.82,22950.0,-11.719886927903417
6.383333,1.0,14.288,72.876,93.85,22979.9988,11.688858852164095
6.391667,1.0,14.265,72.877,93.9,23010.0012,19.533137797228683
6.4,1.0,14.242,72.878,93.94,23040.0,15.626507410993428
6.408333,1.0,14.219,72.879,93.95,23069.9988,3.9066261470990593
6.416667,1.0,14.196,72.88,93.96,23100.001200000002,3.906625442487418
6.425,1.0,14.173,72.881,93.95,23130.0,-3.9066247389253497
6.433333,1.0,14.15,72.882,93.97,23159.9988,7.813248072824986
6.441667,1.0,14.127,72.883,93.93,23190.0012,-15.62649333976927
6.45,1.0,14.104,72.884,93.87,23220.0,-23.439735807119227
6.458333,1.0,14.081,72.885,93.84,23249.998799999998,-11.719865805430185
6.466667,1.0,14.058,72.885,93.86,23280.0012,7.820187877553
6.475,1.0,14.036,72.886,93.82,23310.0,-16.335428360393465
6.483333,1.0,14.013,72.886,93.81,23339.9988,-3.9100939387737217
6.491667,1.0,13.99,72.887,93.72,23370.0012,-35.159572604882136
6.5,1.0,13.968,72.887,93.67,23400.0,-20.439127407242804
6.508333,1.0,13.945,72.888,93.67,23429.9988,0.0
6.516667,1.0,13.923,72.888,93.64,23460.0012,-12.263476444346843
6.525,1.0,13.9,72.888,93.67,23490.0,11.730281816331468
6.533333,1.0,13.877,72.888,93.65,23519.9988,-7.820187877553
6.541667,1.0,13.855,72.888,93.64,23550.001200000002,-4.087825481450589
6.55,1.0,13.833,72.888,93.71,23580.0,28.61477837013876
6.558333,1.0,13.81,72.888,93.71,23609.9988,0.0
6.566667,1.0,13.788,72.888,93.72,23640.0012,4.087825481450589
6.575,1.0,13.765,72.887,93.77,23670.0,19.533062162830273
6.583333,1.0,13.743,72.887,93.75,23699.998799999998,-8.17565096289596
6.591667,1.0,13.72,72.887,93.69,23730.0012,-23.460563632662936
6.6,1.0,13.698,72.886,93.67,23760.0,-8.167691044410386
6.608333,1.0,13.676,72.886,93.64,23789.9988,-12.263476444346843
6.616667,1.0,13.653,72.885,93.58,23820.0012,-23.439654673431814
6.625,1.0,13.631,72.885,93.56,23850.0,-8.17565096289596
