MJdatet,Time,PRN,Az,Ele,Lat,Lon,Stec,Vtec,S4
57098.21944,5.266667,1,314.26,16.57,18.606,71.445,92.33,38.56,-99
57098.21979,5.275,1,314.11,16.72,18.555,71.472,92.23,38.66,-99
57098.22014,5.283333,1,313.97,16.87,18.506,71.498,92.11,38.75,-99
57098.22049,5.291667,1,313.82,17.02,18.456,71.524,92,38.85,-99
57098.22083,5.3,1,313.68,17.16,18.407,71.549,91.86,38.93,-99
57098.22118,5.308333,1,313.53,17.31,18.358,71.574,91.76,39.03,-99
57098.22153,5.316667,1,313.38,17.46,18.31,71.599,91.72,39.16,-99
57098.22188,5.325,1,313.23,17.61,18.263,71.623,91.61,39.25,-99
57098.22222,5.333333,1,313.08,17.75,18.216,71.647,91.44,39.32,-99
57098.22257,5.341667,1,312.93,17.9,18.169,71.67,91.36,39.43,-99
57098.22292,5.35,1,312.78,18.04,18.122,71.693,91.26,39.52,-99
57098.22326,5.358333,1,312.62,18.19,18.077,71.716,91.16,39.62,-99
57098.22361,5.366667,1,312.47,18.33,18.031,71.739,91.11,39.74,-99
57098.22396,5.375,1,312.31,18.48,17.986,71.761,91.09,39.87,-99
57098.22431,5.383333,1,312.16,18.62,17.941,71.782,91.08,40.01,-99
57098.22465,5.391667,1,312,18.76,17.897,71.804,91.08,40.15,-99
57098.225,5.4,1,311.84,18.91,17.853,71.825,91.09,40.3,-99
57098.22535,5.408333,1,311.68,19.05,17.81,71.846,91.13,40.46,-99
57098.22569,5.416667,1,311.52,19.19,17.767,71.866,91.15,40.6,-99
57098.22604,5.425,1,311.35,19.33,17.724,71.886,91.17,40.75,-99
57098.22639,5.433333,1,311.19,19.47,17.681,71.906,91.27,40.94,-99
57098.22674,5.441667,1,311.03,19.61,17.639,71.926,91.38,41.13,-99
57098.22708,5.45,1,310.86,19.75,17.598,71.945,91.49,41.32,-99
57098.22743,5.458333,1,310.69,19.89,17.557,71.964,91.6,41.51,-99
57098.22778,5.466667,1,310.53,20.03,17.516,71.982,91.69,41.69,-99
57098.22813,5.475,1,310.36,20.16,17.475,72.001,91.71,41.84,-99
57098.22847,5.483333,1,310.19,20.3,17.435,72.019,91.76,42,-99
57098.22882,5.491667,1,310.02,20.44,17.395,72.037,91.88,42.19,-99
57098.22917,5.5,1,309.84,20.57,17.355,72.054,91.97,42.38,-99
57098.22951,5.508333,1,309.67,20.71,17.316,72.071,92.02,42.54,-99
57098.22986,5.516667,1,309.5,20.84,17.277,72.088,92.06,42.7,-99
57098.23021,5.525,1,309.32,20.98,17.238,72.105,92.13,42.87,-99
57098.23056,5.533333,1,309.15,21.11,17.2,72.121,92.11,43,-99
57098.2309,5.541667,1,308.97,21.24,17.162,72.138,92.13,43.14,-99
57098.23125,5.55,1,308.79,21.37,17.124,72.154,92.17,43.3,-99
57098.2316,5.558333,1,308.61,21.51,17.087,72.169,92.2,43.45,-99
57098.23194,5.566667,1,308.43,21.64,17.05,72.185,92.16,43.57,-99
57098.23229,5.575,1,308.25,21.77,17.013,72.2,92.18,43.71,-99
57098.23264,5.583333,1,308.07,21.9,16.976,72.215,92.18,43.85,-99
57098.23299,5.591667,1,307.88,22.02,16.94,72.23,92.23,44.01,-99
57098.23333,5.6,1,307.7,22.15,16.904,72.244,92.3,44.18,-99
57098.23368,5.608333,1,307.51,22.28,16.868,72.258,92.33,44.33,-99
57098.23403,5.616667,1,307.33,22.41,16.833,72.272,92.35,44.47,-99
57098.23438,5.625,1,307.14,22.53,16.797,72.286,92.27,44.57,-99
57098.23472,5.633333,1,306.95,22.66,16.762,72.3,92.29,44.71,-99
57098.23507,5.641667,1,306.76,22.78,16.728,72.313,92.31,44.85,-99
57098.23542,5.65,1,306.57,22.91,16.693,72.326,92.3,44.98,-99
57098.23576,5.658333,1,306.38,23.03,16.659,72.339,92.37,45.15,-99
57098.23611,5.666667,1,306.18,23.15,16.625,72.352,92.43,45.31,-99
57098.23646,5.675,1,305.99,23.27,16.591,72.364,92.54,45.49,-99
57098.23681,5.683333,1,305.79,23.39,16.557,72.376,92.62,45.66,-99
57098.23715,5.691667,1,305.6,23.52,16.524,72.389,92.77,45.86,-99
57098.2375,5.7,1,305.4,23.63,16.491,72.4,92.86,46.04,-99
57098.23785,5.708333,1,305.2,23.75,16.458,72.412,92.93,46.2,-99
57098.23819,5.716667,1,305,23.87,16.426,72.424,93.07,46.39,-99
57098.23854,5.725,1,304.8,23.99,16.393,72.435,93.15,46.56,-99
57098.23889,5.733333,1,304.6,24.11,16.361,72.446,93.17,46.7,-99
57098.23924,5.741667,1,304.4,24.22,16.329,72.457,93.23,46.85,-99
57098.23958,5.75,1,304.19,24.34,16.297,72.468,93.24,46.99,-99
57098.23993,5.758333,1,303.99,24.45,16.266,72.478,93.29,47.14,-99
57098.24028,5.766667,1,303.78,24.56,16.234,72.489,93.28,47.25,-99
57098.24063,5.775,1,303.58,24.68,16.203,72.499,93.31,47.39,-99
57098.24097,5.783333,1,303.37,24.79,16.172,72.509,93.33,47.53,-99
57098.24132,5.791667,1,303.16,24.9,16.141,72.519,93.33,47.65,-99
57098.24167,5.8,1,302.95,25.01,16.111,72.528,93.35,47.78,-99
57098.24201,5.808333,1,302.74,25.12,16.08,72.538,93.34,47.9,-99
57098.24236,5.816667,1,302.53,25.23,16.05,72.547,93.37,48.03,-99
57098.24271,5.825,1,302.32,25.34,16.02,72.556,93.35,48.14,-99
57098.24306,5.833333,1,302.1,25.45,15.99,72.565,93.41,48.29,-99
57098.2434,5.841667,1,301.89,25.55,15.96,72.574,93.47,48.44,-99
57098.24375,5.85,1,301.67,25.66,15.931,72.583,93.51,48.57,-99
57098.2441,5.858333,1,301.46,25.76,15.901,72.591,93.59,48.73,-99
57098.24444,5.866667,1,301.24,25.87,15.872,72.6,93.63,48.86,-99
57098.24479,5.875,1,301.02,25.97,15.843,72.608,93.66,49,-99
57098.24514,5.883333,1,300.8,26.07,15.814,72.616,93.69,49.12,-99
57098.24549,5.891667,1,300.58,26.17,15.785,72.624,93.71,49.24,-99
57098.24583,5.9,1,300.36,26.27,15.757,72.632,93.69,49.34,-99
57098.24618,5.908333,1,300.14,26.37,15.728,72.639,93.64,49.43,-99
57098.24653,5.916667,1,299.91,26.47,15.7,72.647,93.68,49.56,-99
57098.24688,5.925,1,299.69,26.57,15.672,72.654,93.67,49.67,-99
57098.24722,5.933333,1,299.46,26.67,15.644,72.661,93.68,49.78,-99
57098.24757,5.941667,1,299.24,26.76,15.616,72.668,93.72,49.9,-99
57098.24792,5.95,1,299.01,26.86,15.588,72.675,93.72,50.01,-99
57098.24826,5.958333,1,298.78,26.95,15.561,72.682,93.74,50.13,-99
57098.24861,5.966667,1,298.55,27.05,15.533,72.689,93.78,50.25,-99
57098.24896,5.975,1,298.32,27.14,15.506,72.695,93.89,50.41,-99
57098.24931,5.983333,1,298.09,27.23,15.479,72.701,93.88,50.51,-99
57098.24965,5.991667,1,297.86,27.32,15.451,72.708,93.89,50.62,-99
57098.25,6,1,297.63,27.41,15.425,72.714,93.88,50.71,-99
57098.25035,6.008333,1,297.39,27.5,15.398,72.72,93.9,50.82,-99
57098.25069,6.016667,1,297.16,27.59,15.371,72.726,93.9,50.92,-99
57098.25104,6.025,1,296.92,27.67,15.344,72.731,93.85,50.99,-99
57098.25139,6.033333,1,296.69,27.76,15.318,72.737,93.86,51.09,-99
57098.25174,6.041667,1,296.45,27.85,15.292,72.742,93.84,51.17,-99
57098.25208,6.05,1,296.21,27.93,15.265,72.748,93.8,51.25,-99
57098.25243,6.058333,1,295.97,28.01,15.239,72.753,93.81,51.35,-99
57098.25278,6.066667,1,295.73,28.1,15.213,72.758,93.83,51.45,-99
57098.25313,6.075,1,295.49,28.18,15.187,72.763,93.79,51.52,-99
57098.25347,6.083333,1,295.25,28.26,15.162,72.768,93.81,51.62,-99
57098.25382,6.091667,1,295.01,28.34,15.136,72.773,93.86,51.73,-99
57098.25417,6.1,1,294.76,28.42,15.11,72.777,93.91,51.85,-99
57098.25451,6.108333,1,294.52,28.49,15.085,72.782,93.99,51.98,-99
57098.25486,6.116667,1,294.28,28.57,15.059,72.786,94.05,52.1,-99
57098.25521,6.125,1,294.03,28.65,15.034,72.791,94.08,52.2,-99
57098.25556,6.133333,1,293.78,28.72,15.009,72.795,94.08,52.28,-99
57098.2559,6.141667,1,293.54,28.79,14.984,72.799,94.14,52.4,-99
57098.25625,6.15,1,293.29,28.87,14.959,72.803,94.07,52.44,-99
57098.2566,6.158333,1,293.04,28.94,14.934,72.807,94.08,52.53,-99
57098.25694,6.166667,1,292.79,29.01,14.909,72.811,94.1,52.62,-99
57098.25729,6.175,1,292.54,29.08,14.884,72.814,94.09,52.69,-99
57098.25764,6.183333,1,292.29,29.15,14.859,72.818,94.1,52.77,-99
57098.25799,6.191667,1,292.04,29.22,14.835,72.821,94.11,52.86,-99
57098.25833,6.2,1,291.78,29.28,14.81,72.825,94.16,52.96,-99
57098.25868,6.208333,1,291.53,29.35,14.786,72.828,94.14,53.02,-99
57098.25903,6.216667,1,291.28,29.41,14.761,72.831,94.17,53.11,-99
57098.25938,6.225,1,291.02,29.48,14.737,72.834,94.14,53.16,-99
57098.25972,6.233333,1,290.77,29.54,14.713,72.837,94.15,53.24,-99
57098.26007,6.241667,1,290.51,29.6,14.689,72.84,94.13,53.3,-99
57098.26042,6.25,1,290.25,29.66,14.665,72.843,94.12,53.36,-99
57098.26076,6.258333,1,290,29.72,14.641,72.846,94.12,53.43,-99
57098.26111,6.266667,1,289.74,29.78,14.617,72.848,94.13,53.5,-99
57098.26146,6.275,1,289.48,29.84,14.593,72.851,94.09,53.54,-99
57098.26181,6.283333,1,289.22,29.9,14.569,72.853,94.08,53.6,-99
57098.26215,6.291667,1,288.96,29.95,14.545,72.855,94.04,53.64,-99
57098.2625,6.3,1,288.7,30.01,14.522,72.858,94.04,53.7,-99
57098.26285,6.308333,1,288.44,30.06,14.498,72.86,94.02,53.75,-99
57098.26319,6.316667,1,288.18,30.11,14.474,72.862,94.03,53.81,-99
57098.26354,6.325,1,287.92,30.16,14.451,72.864,93.97,53.84,-99
57098.26389,6.333333,1,287.65,30.21,14.427,72.866,93.97,53.89,-99
57098.26424,6.341667,1,287.39,30.26,14.404,72.868,93.95,53.93,-99
57098.26458,6.35,1,287.12,30.31,14.381,72.869,93.91,53.97,-99
57098.26493,6.358333,1,286.86,30.36,14.357,72.871,93.83,53.97,-99
57098.26528,6.366667,1,286.59,30.4,14.334,72.873,93.85,54.04,-99
57098.26563,6.375,1,286.33,30.45,14.311,72.874,93.82,54.07,-99
57098.26597,6.383333,1,286.06,30.49,14.288,72.876,93.85,54.14,-99
57098.26632,6.391667,1,285.8,30.54,14.265,72.877,93.9,54.21,-99
57098.26667,6.4,1,285.53,30.58,14.242,72.878,93.94,54.28,-99
57098.26701,6.408333,1,285.26,30.62,14.219,72.879,93.95,54.33,-99
57098.26736,6.416667,1,284.99,30.66,14.196,72.88,93.96,54.39,-99
57098.26771,6.425,1,284.72,30.7,14.173,72.881,93.95,54.42,-99
57098.26806,6.433333,1,284.45,30.74,14.15,72.882,93.97,54.48,-99
57098.2684,6.441667,1,284.18,30.77,14.127,72.883,93.93,54.49,-99
57098.26875,6.45,1,283.91,30.81,14.104,72.884,93.87,54.5,-99
57098.2691,6.458333,1,283.64,30.84,14.081,72.885,93.84,54.52,-99
57098.26944,6.466667,1,283.37,30.88,14.058,72.885,93.86,54.57,-99
57098.26979,6.475,1,283.1,30.91,14.036,72.886,93.82,54.59,-99
57098.27014,6.483333,1,282.83,30.94,14.013,72.886,93.81,54.61,-99
57098.27049,6.491667,1,282.56,30.97,13.99,72.887,93.72,54.59,-99
57098.27083,6.5,1,282.28,31,13.968,72.887,93.67,54.6,-99
57098.27118,6.508333,1,282.01,31.03,13.945,72.888,93.67,54.63,-99
57098.27153,6.516667,1,281.74,31.06,13.923,72.888,93.64,54.64,-99
