Time,PRN,Lat,Lon,Stec,Time_seconds,Gradient (mm/km),Alert Status,Recovery Timer
13.0,1.0,11.377,81.819,64.03,46800.0,-104.14175489599114,Normal,0
13.008333,1.0,11.401,81.816,63.87,46829.9988,-59.50964843437432,Normal,0
13.016667,1.0,11.425,81.813,63.64,46860.0012,-85.5452265119641,Normal,0
13.025,1.0,11.449,81.81,63.39,46890.0,-92.98405827488,Normal,0
13.033333,1.0,11.473,81.807,63.19,46919.9988,-74.3873399366148,Normal,0
13.041667,1.0,11.496,81.805,62.94,46950.0012,-97.3993463954033,Normal,0
13.05,1.0,11.52,81.802,62.66,46980.0,-104.14253250639752,Normal,0
13.058333,1.0,11.544,81.799,62.39,47009.9988,-100.42328306322256,Normal,0
13.066667,1.0,11.567,81.796,62.19,47040.001200000006,-77.57105502081072,Normal,0
13.075,1.0,11.591,81.793,61.9,47070.0,-107.86231208705333,Normal,0
13.083333,1.0,11.615,81.791,61.58,47099.9988,-119.512023145967,Normal,0
13.091667,1.0,11.638,81.788,61.3,47130.0012,-108.59992043515838,Normal,0
13.1,1.0,11.661,81.785,61.09,47160.0,-81.45004846877775,Normal,0
13.108333,1.0,11.685,81.782,60.82,47189.9988,-100.424032577137,Normal,0
13.116667,1.0,11.708,81.779,60.46,47220.0012,-139.62903443010532,Normal,0
13.125,1.0,11.731,81.777,60.21,47250.0,-97.39993719331444,Normal,0
13.133333,1.0,11.754,81.774,59.96,47279.9988,-96.96486643049909,Normal,0
13.141667,1.0,11.777,81.771,59.6,47310.0012,-139.62959479418296,Normal,0
13.15,1.0,11.8,81.769,59.31,47340.0,-112.98413085810624,Normal,0
13.158333,1.0,11.823,81.766,58.97,47369.9988,-131.872749539743,Normal,0
13.166667,1.0,11.846,81.763,58.59,47400.0012,-147.38738928827635,Normal,0
13.175,1.0,11.869,81.761,58.21,47430.0,-148.04843988340272,Normal,0
13.183333,1.0,11.891,81.758,57.89,47459.9988,-129.66107243744784,Normal,0
13.191667,1.0,11.914,81.755,57.5,47490.001200000006,-151.2666096825364,Normal,0
13.2,1.0,11.937,81.753,57.09,47520.0,-159.73676157799767,Normal,0
13.208333,1.0,11.959,81.75,56.71,47549.9988,-153.97319790334004,Normal,0
13.216667,1.0,11.982,81.748,56.32,47580.0012,-151.94490587770952,Normal,0
13.225,1.0,12.005,81.745,55.89,47610.0,-166.78203189825737,Normal,0
13.233333,1.0,12.027,81.743,55.45,47639.9988,-179.15748154896227,Normal,0
13.241667,1.0,12.049,81.74,55.03,47670.0012,-170.18189563826976,Normal,0
13.25,1.0,12.072,81.738,54.6,47700.0,-167.5294010372348,Normal,0
13.258333,1.0,12.094,81.735,54.18,47729.9988,-170.1823946183014,Normal,0
13.266667,1.0,12.116,81.733,53.65,47760.0012,-215.8038916888409,Normal,0
13.275,1.0,12.139,81.73,53.14,47790.0,-197.8128296561796,Normal,0
13.283333,1.0,12.161,81.728,52.63,47819.9988,-207.66062329430025,Normal,0
13.291667,1.0,12.183,81.725,52.14,47850.0012,-198.54728443028625,Normal,0
13.3,1.0,12.205,81.723,51.61,47880.0,-215.80445722858303,Normal,0
13.308333,1.0,12.227,81.721,51.07,47909.9988,-219.87638248612467,Normal,0
13.316667,1.0,12.249,81.718,50.57,47940.001200000006,-202.6001508899905,Normal,0
13.325,1.0,12.271,81.716,50.06,47970.0,-207.66129878732397,Normal,0
13.333333,1.0,12.293,81.714,49.54,47999.9988,-211.7332274070533,Normal,0
13.341667,1.0,12.315,81.712,49.04,48030.0012,-203.5897750841241,Normal,0
13.35,1.0,12.336,81.709,48.54,48060.0,-212.0687916144589,Normal,0
13.358333,1.0,12.358,81.707,48.05,48089.9988,-199.51823563565048,Normal,0
13.366667,1.0,12.38,81.705,47.51,48120.0012,-219.87738400094295,Normal,0
13.375,1.0,12.402,81.703,47.02,48150.0,-199.51849851129592,Normal,0
13.383333,1.0,12.423,81.701,46.51,48179.9988,-217.46801947601455,Normal,0
13.391667,1.0,12.445,81.699,46.0,48210.0012,-207.66237896426455,Normal,0
13.4,1.0,12.467,81.697,45.48,48240.0,-211.73433060511903,Normal,0
13.408333,1.0,12.488,81.695,44.95,48269.9988,-225.99666227844412,Normal,0
13.416667,1.0,12.51,81.693,44.51,48300.0012,-179.16005078793657,Normal,0
13.425,1.0,12.531,81.691,43.97,48330.0,-230.26107859415683,Normal,0
13.433333,1.0,12.553,81.689,43.44,48359.9988,-215.8067058746753,Normal,0
13.441667,1.0,12.574,81.687,42.96,48390.001200000006,-204.67680711148225,Normal,0
13.45,1.0,12.596,81.685,42.54,48420.0,-171.016858288645,Normal,0
13.458333,1.0,12.617,81.683,42.22,48449.9988,-136.45140057123874,Normal,0
13.466667,1.0,12.639,81.681,41.96,48480.0012,-105.86771770647202,Normal,0
13.475,1.0,12.66,81.68,41.77,48510.0,-81.27950580997137,Normal,0
13.483333,1.0,12.681,81.678,41.68,48539.9988,-38.37703871218417,Normal,0
13.491667,1.0,12.702,81.676,41.62,48570.0012,-25.58471053486876,Normal,0
13.5,1.0,12.724,81.674,41.96,48600.0,138.44276048688238,Normal,0
13.508333,1.0,12.745,81.673,41.96,48629.9988,0.0,Normal,0
13.516667,1.0,12.766,81.671,41.96,48660.0012,0.0,Normal,0
13.525,1.0,12.787,81.67,41.96,48690.0,0.0,Normal,0
13.533333,1.0,12.809,81.668,41.96,48719.9988,0.0,Normal,0
13.541667,1.0,12.83,81.667,41.96,48750.0012,0.0,Normal,0
13.55,1.0,12.851,81.665,41.51,48780.0,-191.88629608433567,Normal,0
13.558333,1.0,12.872,81.664,41.51,48809.9988,0.0,Normal,0
13.566667,1.0,12.893,81.662,41.05,48840.001200000006,-196.15071659894392,Normal,0
13.575,1.0,12.914,81.661,41.05,48870.0,0.0,Normal,0
13.583333,1.0,12.935,81.66,40.11,48899.9988,-402.1206029035321,Alert,0
13.591667,1.0,12.956,81.658,40.12,48930.0012,4.264155197912201,Alert,30
13.6,1.0,12.977,81.657,40.4,48960.0,119.78064849666612,Alert,0
13.608333,1.0,12.998,81.656,40.22,48989.9988,-77.0018594361755,Alert,30
13.616667,1.0,13.019,81.655,39.99,49020.0012,-98.39128271769164,Alert,60
13.625,1.0,13.04,81.654,39.9,49050.0,-38.5009437236814,Alert,90
13.633333,1.0,13.061,81.653,39.9,49079.9988,0.0,Normal,120
13.641667,1.0,13.082,81.652,39.77,49110.0012,-55.61249455860195,Normal,0
13.65,1.0,13.103,81.651,40.22,49140.0,192.5048240546824,Normal,0
13.658333,1.0,13.124,81.65,40.22,49169.9988,0.0,Normal,0
13.666667,1.0,13.145,81.649,40.22,49200.0012,0.0,Normal,0
13.675,1.0,13.166,81.648,40.22,49230.0,0.0,Normal,0
13.683333,1.0,13.187,81.647,40.57,49259.9988,149.72608417800686,Normal,0
13.691667,1.0,13.208,81.646,40.02,49290.001200000006,-235.28388990595505,Normal,0
13.7,1.0,13.229,81.645,39.11,49320.0,-389.2879623866426,Alert,0
13.708333,1.0,13.25,81.645,39.11,49349.9988,0.0,Alert,30
13.716667,1.0,13.271,81.644,38.61,49380.0012,-213.8945639199941,Alert,0
13.725,1.0,13.292,81.644,38.61,49410.0,0.0,Alert,30
13.733333,1.0,13.313,81.643,38.91,49439.9988,128.3367859469744,Alert,0
13.741667,1.0,13.334,81.642,39.38,49470.0012,201.0610020150262,Alert,0
13.75,1.0,13.355,81.642,39.38,49500.0,0.0,Alert,30
13.758333,1.0,13.376,81.642,39.38,49529.9988,0.0,Alert,60
13.766667,1.0,13.397,81.641,39.9,49560.0012,222.45059469630849,Alert,0
13.775,1.0,13.418,81.641,39.9,49590.0,0.0,Alert,30
13.783333,1.0,13.439,81.641,39.9,49619.9988,0.0,Alert,60
13.791667,1.0,13.46,81.64,39.9,49650.0012,0.0,Alert,90
13.8,1.0,13.481,81.64,39.34,49680.0,-239.8190949116671,Alert,0
13.808333,1.0,13.502,81.64,39.34,49709.9988,0.0,Alert,30
13.816667,1.0,13.523,81.64,39.34,49740.001200000006,0.0,Alert,60
13.825,1.0,13.544,81.64,39.53,49770.0,81.36719291645203,Alert,90
13.833333,1.0,13.565,81.64,39.98,49799.9988,192.7117726968897,Alert,0
13.841667,1.0,13.586,81.64,40.13,49830.0012,64.23725756562324,Alert,30
13.85,1.0,13.607,81.64,40.13,49860.0,0.0,Alert,60
13.858333,1.0,13.628,81.641,39.44,49889.9988,-295.17543890751347,Alert,0
13.866667,1.0,13.649,81.641,39.44,49920.0012,0.0,Alert,30
13.875,1.0,13.67,81.641,39.76,49950.0,137.03948280665782,Alert,0
13.883333,1.0,13.691,81.641,39.76,49979.9988,0.0,Alert,30
13.891667,1.0,13.712,81.642,39.76,50010.0012,0.0,Alert,60
13.9,1.0,13.733,81.642,39.98,50040.0,94.2146444295838,Alert,90
13.908333,1.0,13.755,81.643,39.98,50069.9988,0.0,Normal,120
13.916667,1.0,13.776,81.644,39.91,50100.0012,-29.945374632176364,Normal,0
13.925,1.0,13.797,81.644,39.73,50130.0,-77.08470907874484,Normal,0
